Sample	File	Time
Day2_1	SRR1146411	Day2
Day2_2	SRR1146410	Day2
Day2_3	SRR1146409	Day2
Day4_1	SRR1146408	Day4
Day4_2	SRR1146407	Day4
Day4_3	SRR1146406	Day4
Day6_1	SRR1146405	Day6
Day6_2	SRR1146404	Day6
Day6_3	SRR1146403	Day6
Day8_1	SRR1146402	Day8
Day8_2	SRR1146401	Day8
Day8_3	SRR1146400	Day8
Day10_1	SRR1146399	Day10
Day10_2	SRR1146398	Day10
Day10_3	SRR1146397	Day10
Day12_1	SRR1146396	Day12
Day12_2	SRR1146395	Day12
Day12_3	SRR1146394	Day12
Day14_1	SRR1146393	Day14
Day14_2	SRR1146392	Day14
Day14_3	SRR1146391	Day14
Day16_1	SRR1146390	Day16
Day16_2	SRR1146389	Day16
Day16_3	SRR1146388	Day16
Day18_1	SRR1146387	Day18
Day18_2	SRR1146386	Day18
Day18_3	SRR1146385	Day18
