Sample	File	Treatment
Ad-NOER_E2_1	SRR1186926_	Ad-NOER_E2
Ad-NOER_1	SRR1186925_	Ad-NOER
Ad-NERK_E2_1	SRR1186924_	Ad-NERK_E2
Ad-NERKI_1	SRR1186923_	Ad-NERKI
Ad-Era_E2_1	SRR1186922_	Ad-Era_E2
Ad-Era_1	SRR1186921_	Ad-Era
Ad-NOER_E2_2	SRR1186920_	Ad-NOER_E2
Ad-NOER_2	SRR1186918_	Ad-NOER
Ad-NERKI_E2_2	SRR1186919_	Ad-NERKI_E2
Ad-NERKI_2	SRR1186917_	Ad-NERKI
Ad-Era_E2_2	SRR1186916_	Ad-Era_E2
Ad-Era_2	SRR1186915_	Ad-Era
Ad-NOER_E2_3	SRR1186914_	Ad-NOER_E2
Ad-NOER_3	SRR1186913_	Ad-NOER
Ad-NERKI_E2_3	SRR1186912_	Ad-NERKI_E2
Ad-NERKI_3	SRR1186911_	Ad-NERKI
Ad-Era_E2_3	SRR1186910_	Ad-Era_E2
Ad-Era_3	SRR1186909_	Ad-Era
