Sample	File	Condition
t0h_1	ERR5924517	t0h
t0h_2	ERR5924518	t0h
t0h_3	ERR5924519	t0h
t15m_1	ERR5924520	t15m
t15m_2	ERR5924521	t15m
t15m_3	ERR5924522	t15m
t16h_1	ERR5924523	t16h
t16h_2	ERR5924524	t16h
t16h_3	ERR5924525	t16h
t1h_1	ERR5924526	t1h
t1h_2	ERR5924527	t1h
t1h_3	ERR5924528	t1h
t121d_1	ERR5924529	t121d
t121d_2	ERR5924530	t121d
t121d_3	ERR5924531	t121d
t2h_1	ERR5924532	t2h
t2h_2	ERR5924533	t2h
t2h_3	ERR5924534	t2h
t30m_1	ERR5924535	t30m
t30m_2	ERR5924536	t30m
t30m_3	ERR5924537	t30m
t4h_1	ERR5924538	t4h
t4h_2	ERR5924539	t4h
t4h_3	ERR5924540	t4h
t8h_1	ERR5924541	t8h
t8h_2	ERR5924542	t8h
t8h_3	ERR5924543	t8h
Mono_1	ERR5924544	Mono
Mono_2	ERR5924545	Mono
Mono_3	ERR5924546	Mono
