Sample	File	Treatment
Control_1	ERR712345	Control
Control_10	ERR712316	Control
Control_11	ERR712320	Control
Control_12	ERR712323	Control
Control_2	ERR712335	Control
Control_3	ERR712324	Control
Control_4	ERR712340	Control
Control_5	ERR712315	Control
Control_6	ERR712344	Control
Control_7	ERR712347	Control
Control_8	ERR712330	Control
Control_9	ERR712338	Control
day1_1	ERR712346	Day1
day1_2	ERR712339	Day1
day1_3	ERR712325	Day1
day1_4	ERR712318	Day1
day1_5	ERR712342	Day1
day1_6	ERR712337	Day1
day14_1	ERR712343	Day14
day14_2	ERR712331	Day14
day14_3	ERR712329	Day14
day14_4	ERR712348	Day14
day14_5	ERR712321	Day14
day14_6	ERR712326	Day14
day5_1	ERR712322	Day5
day5_2	ERR712349	Day5
day5_3	ERR712341	Day5
Day5_4	ERR712314	Day5
day5_5	ERR712328	Day5
day5_6	ERR712332	Day5
day9_1	ERR712317	Day9
day9_2	ERR712327	Day9
day9_3	ERR712333	Day9
day9_4	ERR712336	Day9
day9_5	ERR712334	Day9
day9_6	ERR712319	Day9
