Sample	File	Patient	Time
Patient_1_DMC	ERR1223321|ERR1223322	1	Damaged
Patient_1_PLC	ERR1223323|ERR1223324	1	Intact
Patient_2_DMC	ERR1223325	2	Damaged
Patient_2_DMC	ERR1223326	2	Damaged
Patient_2_PLC	ERR1223327	2	Intact
Patient_3_DMC	ERR1223328	3	Damaged
Patient_3_DMC	ERR1223329	3	Damaged
Patient_3_PLC	ERR1223330	3	Intact
Patient_4_DMC	ERR1223331	4	Damaged
Patient_4_DMC	ERR1223332	4	Damaged
Patient_4_PLC	ERR1223333	4	Intact
Patient_4_PLC	ERR1223334	4	Intact
Patient_5_DMC	ERR1223335	5	Damaged
Patient_5_PLC	ERR1223336	5	Intact
Patient_6_DMC	ERR1223337	6	Damaged
Patient_6_PLC	ERR1223338	6	Intact
Patient_7_DMC	ERR1223339	7	Damaged
Patient_7_PLC	ERR1223340	7	Intact
Patient_8_DMC	ERR1223341	8	Damaged
Patient_8_PLC	ERR1223342	8	Intact
