Sample	File	Patient	Phenotype
Patient_1_DMC	ERR1223321|ERR1223322	P1	Damaged
Patient_1_PLC	ERR1223323|ERR1223324	P1	Intact
Patient_2_DMC	ERR1223325|ERR1223326	P2	Damaged
Patient_2_PLC	ERR1223327	P2	Intact
Patient_3_DMC	ERR1223328|ERR1223329	P3	Damaged
Patient_3_PLC	ERR1223330	P3	Intact
Patient_4_DMC	ERR1223331|ERR1223332	P4	Damaged
Patient_4_PLC	ERR1223333|ERR1223334	P4	Intact
Patient_5_DMC	ERR1223335	P5	Damaged
Patient_5_PLC	ERR1223336	P5	Intact
Patient_6_DMC	ERR1223337	P6	Damaged
Patient_6_PLC	ERR1223338	P6	Intact
Patient_7_DMC	ERR1223339	P7	Damaged
Patient_7_PLC	ERR1223340	P7	Intact
Patient_8_DMC	ERR1223341	P8	Damaged
Patient_8_PLC	ERR1223342	P8	Intact
