Sample	File	Sex	Treatment
Control.Day0_1	ERR2059850	male	Control.Day0
Control.Day0_2	ERR2059851	female	Control.Day0
Control.Day0_3	ERR2059852	male	Control.Day0
Control.Day0_4	ERR2059853	female	Control.Day0
Control.Day0_5	ERR2059854	female	Control.Day0
Control.Day0_6	ERR2059855	male	Control.Day0
Injury.Day7_1	ERR2059856	female	Injury.Day7
Injury.Day7_2	ERR2059857	male	Injury.Day7
Injury.Day7_3	ERR2059858	male	Injury.Day7
Injury.Day7_4	ERR2059859	female	Injury.Day7
Injury.Day7_5	ERR2059860	male	Injury.Day7
Injury.Day7_6	ERR2059861	female	Injury.Day7
Injury.Day28_1	ERR2059862	male	Injury.Day28
Injury.Day28_2	ERR2059863	female	Injury.Day28
Injury.Day28_3	ERR2059864	female	Injury.Day28
Injury.Day28_4	ERR2059865	male	Injury.Day28
Injury.Day28_5	ERR2059866	male	Injury.Day28
Injury.Day28_6	ERR2059867	female	Injury.Day28
InjuryReconstruct.Day7_1	ERR2059868	female	InjuryReconstruct.Day7
InjuryReconstruct.Day7_2	ERR2059869	male	InjuryReconstruct.Day7
InjuryReconstruct.Day7_3	ERR2059870	female	InjuryReconstruct.Day7
InjuryReconstruct.Day7_4	ERR2059871	male	InjuryReconstruct.Day7
InjuryReconstruct.Day7_5	ERR2059872	female	InjuryReconstruct.Day7
InjuryReconstruct.Day7_6	ERR2059873	male	InjuryReconstruct.Day7
InjuryReconstruct.Day28_1	ERR2059874	male	InjuryReconstruct.Day28
InjuryReconstruct.Day28_2	ERR2059875	female	InjuryReconstruct.Day28
InjuryReconstruct.Day28_3	ERR2059876	male	InjuryReconstruct.Day28
InjuryReconstruct.Day28_4	ERR2059877	female	InjuryReconstruct.Day28
InjuryReconstruct.Day28_5	ERR2059878	female	InjuryReconstruct.Day28
InjuryReconstruct.Day28_6	ERR2059879	male	InjuryReconstruct.Day28
InjuryRepair.Day7_1	ERR2059880	female	InjuryRepair.Day7
InjuryRepair.Day7_2	ERR2059881	male	InjuryRepair.Day7
InjuryRepair.Day7_3	ERR2059882	female	InjuryRepair.Day7
InjuryRepair.Day7_4	ERR2059883	male	InjuryRepair.Day7
InjuryRepair.Day7_5	ERR2059884	female	InjuryRepair.Day7
InjuryRepair.Day7_6	ERR2059885	male	InjuryRepair.Day7
InjuryRepair.Day28_1	ERR2059886	male	InjuryRepair.Day28
InjuryRepair.Day28_2	ERR2059887	female	InjuryRepair.Day28
InjuryRepair.Day28_3	ERR2059888	female	InjuryRepair.Day28
InjuryRepair.Day28_4	ERR2059889	male	InjuryRepair.Day28
InjuryRepair.Day28_5	ERR2059890	male	InjuryRepair.Day28
InjuryRepair.Day28_6	ERR2059891	female	InjuryRepair.Day29
