Sample	File	Clone	Treatment
cs128_mir138_day2	SRR6464751|SRR6464752|SRR6464753	cs128	mir138_day2
cs128_mir138_day7	SRR6464754|SRR6464755|SRR6464756	cs128	mir138_day7
cs128_mir181_day2	SRR6464757|SRR6464758|SRR6464759	cs128	mir181_day2
cs128_mir181_day7	SRR6464760|SRR6464761|SRR6464762	cs128	mir181_day7
cs128_NS_control_day2	SRR6464763|SRR6464764|SRR6464765	cs128	NS_control_day2
cs128_NS_control_day7	SRR6464766|SRR6464767|SRR6464768	cs128	NS_control_day7
cs131_mir138_day2	SRR6464769|SRR6464770|SRR6464771	cs131	mir138_day2
cs131_mir138_day7	SRR6464772|SRR6464773|SRR6464774	cs131	mir138_day7
cs131_mir181_day2	SRR6464775|SRR6464776|SRR6464777	cs131	mir181_day2
cs131_mir181_day7	SRR6464778|SRR6464779|SRR6464780	cs131	mir181_day7
cs131_NS_control_day2	SRR6464781|SRR6464782|SRR6464783	cs131	NS_control_day2
cs131_NS_control_day7	SRR6464784|SRR6464785|SRR6464786	cs131	NS_control_day7
cs142_mir138_day2	SRR6464787|SRR6464788|SRR6464789	cs142	mir138_day2
cs142_mir138_day7	SRR6464790|SRR6464791|SRR6464792	cs142	mir138_day7
cs142_mir181_day2	SRR6464793|SRR6464794|SRR6464795	cs142	mir181_day2
cs142_mir181_day7	SRR6464796|SRR6464797|SRR6464798	cs142	mir181_day7
cs142_NS_control_day2	SRR6464799|SRR6464800|SRR6464801	cs142	NS_control_day2
cs142_NS_control_day7	SRR6464802|SRR6464803|SRR6464804	cs142	NS_control_day7
