Sample	File	Condition
WT_Basal_1	SRR6493420	WT_Basal
WT_RANKL_1	SRR6493421	WT_RANKL
Mir182Loss_Basal_1	SRR6493422	Mir182Loss_Basal
Mir182Loss_RANKL_1	SRR6493423	Mir182Loss_RANKL
Control_Basal_1	SRR6493424	Control_Basal
Mir182Gain_Basal_1	SRR6493425	Mir182Gain_Basal
WT_Basal_2	SRR7620920	WT_Basal
WT_RANKL_2	SRR7620921	WT_RANKL
Mir182Loss_Basal_2	SRR7620922	Mir182Loss_Basal
Mir182Loss_RANKL_2	SRR7620923	Mir182Loss_RANKL
Control_Basal_2	SRR7620924	Control_Basal
Mir182Gain_Basal_2	SRR7620925	Mir182Gain_Basal
