Sample	File	Donor	Timepoint
OneDay0	SRR6491458	One	Day0
TwoDay0	SRR6491459	Two	Day0
ThreeDay0	SRR6491460	Three	Day0
OneDay1	SRR6491461	One	Day1
TwoDay1	SRR6491462	Two	Day1
ThreeDay1	SRR6491463	Three	Day1
OneDay3	SRR6491464	One	Day3
TwoDay3	SRR6491465	Two	Day3
ThreeDay3	SRR6491466	Three	Day3
OneDay7	SRR6491467	One	Day7
TwoDay7	SRR6491468	Two	Day7
ThreeDay7	SRR6491469	Three	Day7
OneDay14	SRR6491470	One	Day14
TwoDay14	SRR6491471	Two	Day14
ThreeDay14	SRR6491472	Three	Day14
OneDay21	SRR6491473	One	Day21
TwoDay21	SRR6491474	Two	Day21
ThreeDay21	SRR6491475	Three	Day21
