Sample	File	Factor
WT_ESC_1	SRR6680291	WT_ESC
WT_ESC_2	SRR6680292	WT_ESC
WT_ESC_3	SRR6680293	WT_ESC
YAP.KO_ESC_1	SRR6680294	YAP KO_ESC
YAP.KO_ESC_2	SRR6680295	YAP KO_ESC
YAP.KO_ESC_3	SRR6680296	YAP KO_ESC
TAZ.KO_ESC_1	SRR6680297	TAZ KO_ESC
TAZ.KO_ESC_2	SRR6680298	TAZ KO_ESC
TAZ.KO_ESC_3	SRR6680299	TAZ KO_ESC
WT_MSC_1	SRR6680309	WT_MSC
WT_MSC_2	SRR6680310	WT_MSC
WT_MSC_3	SRR6680311	WT_MSC
YAP.KO_MSC_1	SRR6680312	YAP KO_MSC
YAP.KO_MSC_2	SRR6680313	YAP KO_MSC
YAP.KO_MSC_3	SRR6680314	YAP KO_MSC
TAZ.KO_MSC_1	SRR6680315	TAZ KO_MSC
TAZ.KO_MSC_2	SRR6680316	TAZ KO_MSC
TAZ.KO_MSC_3	SRR6680317	TAZ KO_MSC
