Sample	File	Genotype
WT_3Days_1	SRR6939257	WT_3Days
WT_3Days_2	SRR6939258	WT_3Days
WT_3Days_3	SRR6939259	WT_3Days
WT_3Days_4	SRR6939260	WT_3Days
Zfp384_3Day_1	SRR6939261	Zfp384KO_3Day
Zfp384_3Day_2	SRR6939262	Zfp384KO_3Day
Zfp384_3Day_3	SRR6939263	Zfp384KO_3Day
Zfp384_3Day_4	SRR6939264	Zfp384KO_3Day
WT_7Days_1	SRR6939265	WT_7Days
WT_7Days_2	SRR6939266	WT_7Days
WT_7Days_3	SRR6939267	WT_7Days
WT_7Days_4	SRR6939268	WT_7Days
Zfp384_7Day_1	SRR6939269	Zfp384KO_7Day
Zfp384_7Day_2	SRR6939270	Zfp384KO_7Day
Zfp384_7Day_3	SRR6939271	Zfp384KO_7Day
Zfp384_7Day_4	SRR6939272	Zfp384KO_7Day
