Sample	File	Tissue
Tibia_PZ_1wk_1	SRR7218111|SRR7218112|SRR7218113|SRR7218114|SRR7218115	Tibia_PZ_1wk
Tibia_PZ_1wk_2	SRR7218116|SRR7218117|SRR7218118|SRR7218119|SRR7218120	Tibia_PZ_1wk
Tibia_PZ_1wk_3	SRR7218121|SRR7218122|SRR7218123|SRR7218124|SRR7218125	Tibia_PZ_1wk
Tibia_PZ_1wk_4	SRR7218126|SRR7218127|SRR7218128|SRR7218129|SRR7218130	Tibia_PZ_1wk
Tibia_PZ_1wk_5	SRR7218131|SRR7218132|SRR7218133|SRR7218134|SRR7218135	Tibia_PZ_1wk
Tibia_HZ_1wk_1	SRR7218136|SRR7218137|SRR7218138|SRR7218139|SRR7218140	Tibia_HZ_1wk
Tibia_HZ_1wk_2	SRR7218141|SRR7218142|SRR7218143|SRR7218144|SRR7218145	Tibia_HZ_1wk
Tibia_HZ_1wk_3	SRR7218146|SRR7218147|SRR7218148|SRR7218149|SRR7218150	Tibia_HZ_1wk
Tibia_HZ_1wk_4	SRR7218151|SRR7218152|SRR7218153|SRR7218154|SRR7218155	Tibia_HZ_1wk
Tibia_HZ_1wk_5	SRR7218156|SRR7218157|SRR7218158|SRR7218159|SRR7218160	Tibia_HZ_1wk
Tibia_PZ_4wk_1	SRR7218161|SRR7218162|SRR7218163|SRR7218164|SRR7218165	Tibia_PZ_4wk
Tibia_PZ_4wk_2	SRR7218166|SRR7218167|SRR7218168|SRR7218169|SRR7218170	Tibia_PZ_4wk
Tibia_PZ_4wk_3	SRR7218171|SRR7218172|SRR7218173|SRR7218174|SRR7218175	Tibia_PZ_4wk
Tibia_PZ_4wk_4	SRR7218176|SRR7218177|SRR7218178|SRR7218179|SRR7218180	Tibia_PZ_4wk
Tibia_PZ_4wk_5	SRR7218181|SRR7218182|SRR7218183|SRR7218184|SRR7218185	Tibia_PZ_4wk
Tibia_HZ_4wk_1	SRR7218186|SRR7218187|SRR7218188|SRR7218189|SRR7218190	Tibia_HZ_4wk
Tibia_HZ_4wk_2	SRR7218191|SRR7218192|SRR7218193|SRR7218194|SRR7218195	Tibia_HZ_4wk
Tibia_HZ_4wk_3	SRR7218196|SRR7218197|SRR7218198|SRR7218199|SRR7218200	Tibia_HZ_4wk
Tibia_HZ_4wk_4	SRR7218201|SRR7218202|SRR7218203|SRR7218204|SRR7218205	Tibia_HZ_4wk
Tibia_HZ_4wk_5	SRR7218206|SRR7218207|SRR7218208|SRR7218209|SRR7218210	Tibia_HZ_4wk
Phalanx_PZ_1wk_1	SRR7218211|SRR7218212|SRR7218213|SRR7218214|SRR7218215	Phalanx_PZ_1wk
Phalanx_PZ_1wk_2	SRR7218216|SRR7218217|SRR7218218|SRR7218219|SRR7218220	Phalanx_PZ_1wk
Phalanx_PZ_1wk_3	SRR7218221|SRR7218222|SRR7218223|SRR7218224|SRR7218225	Phalanx_PZ_1wk
Phalanx_PZ_1wk_4	SRR7218226|SRR7218227|SRR7218228|SRR7218229|SRR7218230	Phalanx_PZ_1wk
Phalanx_PZ_1wk_5	SRR7218231|SRR7218232|SRR7218233|SRR7218234|SRR7218235	Phalanx_PZ_1wk
Phalanx_HZ_1wk_1	SRR7218236|SRR7218237|SRR7218238|SRR7218239|SRR7218240	Phalanx_HZ_1wk
Phalanx_HZ_1wk_2	SRR7218241|SRR7218242|SRR7218243|SRR7218244|SRR7218245	Phalanx_HZ_1wk
Phalanx_HZ_1wk_3	SRR7218246|SRR7218247|SRR7218248|SRR7218249|SRR7218250	Phalanx_HZ_1wk
Phalanx_HZ_1wk_4	SRR7218251|SRR7218252|SRR7218253|SRR7218254|SRR7218255	Phalanx_HZ_1wk
Phalanx_HZ_1wk_5	SRR7218256|SRR7218257|SRR7218258|SRR7218259|SRR7218260	Phalanx_HZ_1wk
