Sample	File	Tissue
Tibia_HZ_1wk_1	SRR7217931|SRR7217932|SRR7217933|SRR7217934|SRR7217935|SRR7217936	Tibia_HZ_1wk
Tibia_HZ_1wk_2	SRR7217937|SRR7217938|SRR7217939|SRR7217940|SRR72179341|SRR7217942	Tibia_HZ_1wk
Tibia_HZ_1wk_3	SRR7217943|SRR7217944|SRR7217945|SRR7217946|SRR72179347|SRR7217948	Tibia_HZ_1wk
Tibia_HZ_1wk_4	SRR7217949|SRR7217950|SRR7217951|SRR7217952|SRR72179353|SRR7217954	Tibia_HZ_1wk
Tibia_HZ_1wk_5	SRR7217955|SRR7217956|SRR7217957|SRR7217958|SRR72179359|SRR7217960	Tibia_HZ_1wk
Tibia_HZ_4wk_1	SRR7217961|SRR7217962|SRR7217963|SRR7217964|SRR72179365|SRR7217966	Tibia_HZ_4wk
Tibia_HZ_4wk_2	SRR7217967|SRR7217968|SRR7217969|SRR7217970|SRR72179371|SRR7217972	Tibia_HZ_4wk
Tibia_HZ_4wk_3	SRR7217973|SRR7217974|SRR7217975|SRR7217976|SRR72179377|SRR7217978	Tibia_HZ_4wk
Tibia_HZ_4wk_4	SRR7217979|SRR7217980|SRR7217981|SRR7217982|SRR72179383|SRR7217984	Tibia_HZ_4wk
Tibia_HZ_4wk_5	SRR7217985|SRR7217986|SRR7217987|SRR7217988|SRR72179389|SRR7217990	Tibia_HZ_4wk
Phalanx_HZ_1wk_1	SRR7217991|SRR7217992|SRR7217993|SRR7217994|SRR72179395|SRR7217996	Phalanx_HZ_1wk
Phalanx_HZ_1wk_2	SRR7217997|SRR7217998|SRR7217999|SRR7218000|SRR7218001|SRR7218002	Phalanx_HZ_1wk
Phalanx_HZ_1wk_3	SRR7218003|SRR7218004|SRR7218005|SRR7218006|SRR7218007|SRR7218008	Phalanx_HZ_1wk
Phalanx_HZ_1wk_4	SRR7218009|SRR7218010|SRR7218011|SRR7218012|SRR7218013|SRR7218014	Phalanx_HZ_1wk
Phalanx_HZ_1wk_5	SRR7218015|SRR7218016|SRR7218017|SRR7218018|SRR7218019|SRR7218020	Phalanx_HZ_1wk
Tibia_PZ_1wk_1	SRR7218021|SRR7218022|SRR7218023|SRR7218024|SRR7218025|SRR7218026	Tibia_PZ_1wk
Tibia_PZ_1wk_2	SRR7218027|SRR7218028|SRR7218029|SRR7218030|SRR7218031|SRR7218032	Tibia_PZ_1wk
Tibia_PZ_1wk_3	SRR7218033|SRR7218034|SRR7218035|SRR7218036|SRR7218037|SRR7218038	Tibia_PZ_1wk
Tibia_PZ_1wk_4	SRR7218039|SRR7218040|SRR7218041|SRR7218042|SRR7218043|SRR7218044	Tibia_PZ_1wk
Tibia_PZ_1wk_5	SRR7218045|SRR7218046|SRR7218047|SRR7218048|SRR7218049|SRR7218050	Tibia_PZ_1wk
Tibia_PZ_4wk_1	SRR7218051|SRR7218052|SRR7218053|SRR7218054|SRR7218055|SRR7218056	Tibia_PZ_4wk
Tibia_PZ_4wk_2	SRR7218057|SRR7218058|SRR7218059|SRR7218060|SRR7218061|SRR7218062	Tibia_PZ_4wk
Tibia_PZ_4wk_3	SRR7218063|SRR7218064|SRR7218065|SRR7218066|SRR7218067|SRR7218068	Tibia_PZ_4wk
Tibia_PZ_4wk_4	SRR7218069|SRR7218070|SRR7218071|SRR7218072|SRR7218073|SRR7218074	Tibia_PZ_4wk
Tibia_PZ_4wk_5	SRR7218075|SRR7218076|SRR7218077|SRR7218078|SRR7218079|SRR7218080	Tibia_PZ_4wk
Phalanx_PZ_1wk_1	SRR7218081|SRR7218082|SRR7218083|SRR7218084|SRR7218085|SRR7218086	Phalanx_PZ_1wk
Phalanx_PZ_1wk_2	SRR7218087|SRR7218088|SRR7218089|SRR7218090|SRR7218091|SRR7218092	Phalanx_PZ_1wk
Phalanx_PZ_1wk_3	SRR7218093|SRR7218094|SRR7218095|SRR7218096|SRR7218097|SRR7218098	Phalanx_PZ_1wk
Phalanx_PZ_1wk_4	SRR7218099|SRR7218100|SRR7218101|SRR7218102|SRR7218103|SRR7218104	Phalanx_PZ_1wk
Phalanx_PZ_1wk_5	SRR7218105|SRR7218106|SRR7218107|SRR7218108|SRR7218109|SRR7218110	Phalanx_PZ_1wk
