Sample	File	Sex	strain
LG.J_1	SRR8746372|SRR8746373|SRR8746374	female	LG/J
LG.J_2	SRR8746375|SRR8746376|SRR8746377	female	LG/J
LG.J_3	SRR8746378|SRR8746379|SRR8746380	female	LG/J
LG.J_4	SRR8746381|SRR8746382|SRR8746383	female	LG/J
LG.J_5	SRR8746384|SRR8746385|SRR8746386	female	LG/J
LG.J_6	SRR8746387|SRR8746388|SRR8746389	female	LG/J
LG.J_7	SRR8746390|SRR8746391|SRR8746392	female	LG/J
LG.J_8	SRR8746393|SRR8746394|SRR8746395	female	LG/J
LG.J_9	SRR8746396|SRR8746397|SRR8746398	male	LG/J
LG.J_10	SRR8746399|SRR8746400|SRR8746401	male	LG/J
LG.J_11	SRR8746402|SRR8746403|SRR8746404	male	LG/J
LG.J_12	SRR8746405|SRR8746406|SRR8746407	male	LG/J
LG.J_13	SRR8746408|SRR8746409|SRR8746410	male	LG/J
LG.J_14	SRR8746411|SRR8746412|SRR8746413	male	LG/J
LG.J_15	SRR8746414|SRR8746415|SRR8746416	male	LG/J
LG.J_16	SRR8746417|SRR8746418|SRR8746419	male	LG/J
SM.J_1	SRR8746420|SRR8746421|SRR8746422	female	SM/J
SM.J_2	SRR8746423|SRR8746424|SRR8746425	female	SM/J
SM.J_3	SRR8746426|SRR8746427|SRR8746428	female	SM/J
SM.J_4	SRR8746429|SRR8746430|SRR8746431	female	SM/J
SM.J_5	SRR8746432|SRR8746433|SRR8746434	female	SM/J
SM.J_6	SRR8746435|SRR8746436|SRR8746437	female	SM/J
SM.J_7	SRR8746438|SRR8746439|SRR8746440	female	SM/J
SM.J_8	SRR8746441|SRR8746442|SRR8746443	female	SM/J
SM.J_9	SRR8746444|SRR8746445|SRR8746446	male	SM/J
SM.J_10	SRR8746447|SRR8746448|SRR8746449	male	SM/J
SM.J_11	SRR8746450|SRR8746451|SRR8746452	male	SM/J
SM.J_12	SRR8746453|SRR8746454|SRR8746455	male	SM/J
SM.J_13	SRR8746456|SRR8746457|SRR8746458	male	SM/J
SM.J_14	SRR8746459|SRR8746460|SRR8746461	male	SM/J
SM.J_15	SRR8746462|SRR8746463|SRR8746464	male	SM/J
SM.J_16	SRR8746465|SRR8746466|SRR8746467	male	SM/J
