Sample	File	Treatment
control_0hr_R1_1	SRR8752286	control_0hr
control_0hr_R2_1	SRR8752287	control_0hr
control_0hr_R3_1	SRR8752288	control_0hr
control_1hr_R1_1	SRR8752289	control_1hr
control_1hr_R2_1	SRR8752290	control_1hr
control_1hr_R3_1	SRR8752291	control_1hr
control_24hr_R1_1	SRR8752292	control_24hr
control_24hr_R2_1	SRR8752293	control_24hr
control_24hr_R3_1	SRR8752294	control_24hr
control_2hr_R1_1	SRR8752295	control_2hr
control_2hr_R2_1	SRR8752296	control_2hr
control_2hr_R3_1	SRR8752297	control_2hr
control_4hr_R1_1	SRR8752298	control_4hr
control_4hr_R2_1	SRR8752299	control_4hr
control_4hr_R3_1	SRR8752300	control_4hr
control_8hr_R1_1	SRR8752301	control_8hr
control_8hr_R2_1	SRR8752302	control_8hr
control_8hr_R3_1	SRR8752303	control_8hr
IFT88_0hr_R1_1	SRR8752304	IFT88_0hr
IFT88_0hr_R2_1	SRR8752305	IFT88_0hr
IFT88_0hr_R3_1	SRR8752306	IFT88_0hr
IFT88_1hr_R1_1	SRR8752307	IFT88_1hr
IFT88_1hr_R2_1	SRR8752308	IFT88_1hr
IFT88_1hr_R3_1	SRR8752309	IFT88_1hr
IFT88_24hr_R1_1	SRR8752310	IFT88_24hr
IFT88_24hr_R2_1	SRR8752311	IFT88_24hr
IFT88_24hr_R3_1	SRR8752312	IFT88_24hr
IFT88_2hr_R1_1	SRR8752313	IFT88_2hr
IFT88_2hr_R2_1	SRR8752314	IFT88_2hr
IFT88_2hr_R3_1	SRR8752315	IFT88_2hr
IFT88_4hr_R1_1	SRR8752316	IFT88_4hr
IFT88_4hr_R2_1	SRR8752317	IFT88_4hr
IFT88_4hr_R3_1	SRR8752318	IFT88_4hr
IFT88_8hr_R1_1	SRR8752319	IFT88_8hr
IFT88_8hr_R2_1	SRR8752320	IFT88_8hr
IFT88_8hr_R3_1	SRR8752321	IFT88_8hr
