Sample	File	title
Uninvolved.knee.1_1	SRR11290627|SRR11290628	Uninvolved knee
Uninvolved.knee.2_1	SRR11290629|SRR11290630	Uninvolved knee
Uninvolved.knee.3_1	SRR11290631|SRR11290632	Uninvolved knee
Liposome.1_1	SRR11290633|SRR11290634	Liposome
Liposome.2_1	SRR11290635|SRR11290636	Liposome
Liposome.3_1	SRR11290637|SRR11290638	Liposome
Lipo.CGS.1_1	SRR11290639|SRR11290640	Lipo-CGS
Lipo.CGS.2_1	SRR11290641|SRR11290642	Lipo-CGS
Lipo.CGS.3_1	SRR11290643|SRR11290644	Lipo-CGS
Saline.1_1	SRR11290645|SRR11290646	Saline
Saline.2_1	SRR11290647|SRR11290648	Saline
Saline.3_1	SRR11290649|SRR11290650	Saline
