Sample	File	Donor	Treatment
OASF.1_OA01.Mock_1	SRR12046207	OASF1	OA_Mock
OASF.1_OA01.C9_1	SRR12046208	OASF1	OA_C9
OASF.1_OA01.CHIKV_1	SRR12046209	OASF1	OA_CHIKV
OASF.2_OA02.Mock_1	SRR12046210	OASF2	OA_Mock
OASF.2_OA02.C9_1	SRR12046211	OASF2	OA_C9
OASF.2_OA02.CHIKV_1	SRR12046212	OASF2	OA_CHIKV
OASF.3_OA03.Mock_1	SRR12046213	OASF3	OA_Mock
OASF.3_OA03.C9_1	SRR12046214	OASF3	OA_C9
OASF.3_OA03.CHIKV_1	SRR12046215	OASF3	OA_CHIKV
OASF.4_OA04.Mock_1	SRR12046216	OASF4	OA_Mock
OASF.4_OA04.C9_1	SRR12046217	OASF4	OA_C9
OASF.4_OA04.CHIKV_1	SRR12046218	OASF4	OA_CHIKV
