Sample	File	Donor	Condition
HEE.CR02.1..CR02.control_1	SRR13181907	HEE_CR02	control
HEE.CR02.2..CR02.Ze14.10._1	SRR13181908	HEE_CR02	Ze14_10percent
HEE.CR02.3..CR02.Ze14.20._1	SRR13181909	HEE_CR02	Ze14_20percent
HEE.CR02.4..CR02.IL.1_1	SRR13181910	HEE_CR02	IL_1
HEE.CR02.5..CR02.IL.1.Ze14.10._1	SRR13181911	HEE_CR02	IL_1_Ze14_10percent
HEE.CR02.6..CR02.IL.1.Ze14.20._1	SRR13181912	HEE_CR02	IL_1_Ze14_20percent
HEE.CR03.1..CR03.control_1	SRR13181913	HEE_CR03	control
HEE.CR03.2..CR03.Ze14.10._1	SRR13181914	HEE_CR03	Ze14_10percent
HEE.CR03.3..CR03.Ze14.20._1	SRR13181915	HEE_CR03	Ze14_20percent
HEE.CR03.4..CR03.IL.1_1	SRR13181916	HEE_CR03	IL_1
HEE.CR03.5..CR03.IL.1.Ze14.10._1	SRR13181917	HEE_CR03	IL_1_Ze14_10percent
HEE.CR03.6..CR03.IL.1.Ze14.20._1	SRR13181918	HEE_CR03	IL_1_Ze14_20percent
HEE.CR04.1..CR04.control_1	SRR13181919	HEE_CR04	control
HEE.CR04.2..CR04.Ze14.10._1	SRR13181920	HEE_CR04	Ze14_10percent
HEE.CR04.3..CR04.Ze14.20._1	SRR13181921	HEE_CR04	Ze14_20percent
HEE.CR04.4..CR04.IL.1_1	SRR13181922	HEE_CR04	IL_1
HEE.CR04.5..CR04.IL.1.Ze14.10._1	SRR13181923	HEE_CR04	IL_1_Ze14_10percent
HEE.CR04.6..CR04.IL.1.Ze14.20._1	SRR13181924	HEE_CR04	IL_1_Ze14_20percent
HEE.CR06.1..CR06.control_1	SRR13181925	HEE_CR06	control
HEE.CR06.2..CR06.Ze14.10._1	SRR13181926	HEE_CR06	Ze14_10percent
HEE.CR06.3..CR06.Ze14.20._1	SRR13181927	HEE_CR06	Ze14_20percent
HEE.CR06.4..CR06.IL.1_1	SRR13181928	HEE_CR06	IL_1
HEE.CR06.5..CR06.IL.1.Ze14.10._1	SRR13181929	HEE_CR06	IL_1_Ze14_10percent
HEE.CR06.6..CR06.IL.1.Ze14.20._1	SRR13181930	HEE_CR06	IL_1_Ze14_20percent
HEE.CR07.1..CR07.control_1	SRR13181931	HEE_CR07	control
HEE.CR07.2..CR07.Ze14.10._1	SRR13181932	HEE_CR07	Ze14_10percent
