Sample	File	tissue
Acetabulum_1	SRR13602996	Acetabulum
Acetabulum_2	SRR13602997	Acetabulum
Acetabulum_3	SRR13602998	Acetabulum
Acetabulum_4	SRR13602999	Acetabulum
Acetabulum_5	SRR13603000	Acetabulum
Acetabulum_6	SRR13603001	Acetabulum
Ilium_1	SRR13603002	Ilium
Ilium_2	SRR13603003	Ilium
Ilium_3	SRR13603004	Ilium
Ilium_4	SRR13603005	Ilium
Ilium_5	SRR13603006	Ilium
Ilium_6	SRR13603007	Ilium
Ilium_7	SRR13603008	Ilium
Ischium_1	SRR13603009	Ischium
Ischium_2	SRR13603010	Ischium
Ischium_3	SRR13603011	Ischium
Ischium_4	SRR13603012	Ischium
Ischium_5	SRR13603013	Ischium
Ischium_6	SRR13603014	Ischium
Ischium_7	SRR13603015	Ischium
Pubis_1	SRR13603016	Pubis
Pubis_2	SRR13603017	Pubis
Pubis_3	SRR13603018	Pubis
Pubis_4	SRR13603019	Pubis
Pubis_5	SRR13603020	Pubis
Pubis_6	SRR13603021	Pubis
Pubis_7	SRR13603022	Pubis
