Sample	File	culture.surface
dentine_1	SRR13676049	dentine
dentine_2	SRR13676050	dentine
dentine_3	SRR13676051	dentine
dentine_4	SRR13676052	dentine
dentine_5	SRR13676053	dentine
dentine_6	SRR13676054	dentine
dentine_7	SRR13676055	dentine
cartilage.from.OA.patient_1	SRR13676056	cartilage_from_OA_patient
cartilage.from.OA.patient_2	SRR13676057	cartilage_from_OA_patient
cartilage.from.OA.patient_3	SRR13676058	cartilage_from_OA_patient
No.substrate_1	SRR13676059	No_substrate
cartilage.from.OA.patient_4	SRR13676060	cartilage_from_OA_patient
cartilage.from.OA.patient_5	SRR13676061	cartilage_from_OA_patient
cartilage.from.OA.patient_6	SRR13676062	cartilage_from_OA_patient
cartilage.from.OA.patient_7	SRR13676063	cartilage_from_OA_patient
cartilage.from.OA.patient_8	SRR13676064	cartilage_from_OA_patient
No.substrate_2	SRR13676065	No_substrate
No.substrate_3	SRR13676066	No_substrate
No.substrate_4	SRR13676067	No_substrate
No.substrate_5	SRR13676068	No_substrate
No.substrate_6	SRR13676069	No_substrate
No.substrate_7	SRR13676070	No_substrate
No.substrate_8	SRR13676071	No_substrate
dentine_8	SRR13676072	dentine
