Sample	File	Donor	Day
Day28_6	SRR17263678|SRR17263677|SRR17263676	P6	Day28
Day3_6	SRR17263689|SRR17263688|SRR17263687	P6	Day3
Day9_6	SRR17263698|SRR17263697|SRR17263696	P6	Day9
Day16_16	SRR17263695|SRR17263675|SRR17263674	P16	Day16
Day3_16	SRR17263694|SRR17263693	P16	Day3
Day6_16	SRR17263683|SRR17263682|SRR17263681	P16	Day6
Day9_16	SRR17263701|SRR17263700|SRR17263699	P16	Day9
Day16_17	SRR17263673|SRR17263672|SRR17263671	P17	Day16
Day28_17	SRR17263670|SRR17263669|SRR17263668	P17	Day28
Day3_17	SRR17263692|SRR17263691|SRR17263690	P17	Day3
Day6_17	SRR17263686|SRR17263685|SRR17263684	P17	Day6
Day9_17	SRR17263680|SRR17263679|SRR17263702	P17	Day9
