Sample	File	Factor
Static_F_1	SRR17422994	Static_F
SMG_F_1	SRR17422993	SMG_F
CHP_F_1	SRR17422992	CHP_F
Static_M_1	SRR17422991	Static_M
SMG_M_1	SRR17422989	SMG_M
CHP_M_1	SRR17422988	CHP_M
Static_F_2	SRR17422987	Static_F
SMG_F_2	SRR17422990	SMG_F
CHP_F_2	SRR17422986	CHP_F
Static_F_3	SRR17422985	Static_F
SMG_F_3	SRR17422984	SMG_F
CHP_F_3	SRR17422983	CHP_F
Static_M_2	SRR17422981	Static_M
SMG_M_2	SRR17422980	SMG_M
CHP_M_2	SRR17422979	CHP_M
Static_M_3	SRR17422982	Static_M
SMG_M_3	SRR17422978	SMG_M
CHP_M_3	SRR17422977	CHP_M
Static_F_4	SRR17422976	Static_F
SMG_F_4	SRR17422975	SMG_F
CHP_F_4	SRR17422974	CHP_F
Static_M_4	SRR17422973	Static_M
SMG_M_4	SRR17422972	SMG_M
CHP_M_4	SRR17422971	CHP_M
