Sample	File	disease
osteoarthritic.human.cartilage_1	SRR20076091	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_2	SRR20076090	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_3	SRR20076089	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_4	SRR20076088	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_5	SRR20076087	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_6	SRR20076086	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_7	SRR20076085	osteoarthritic.human.cartilage
healthy.human.cartilage_1	SRR20076084	healthy.human.cartilage
osteoarthritic.human.cartilage_8	SRR20076083	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_9	SRR20076082	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_10	SRR20076081	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_11	SRR20076080	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_12	SRR20076079	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_13	SRR20076078	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_14	SRR20076077	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_15	SRR20076076	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_16	SRR20076075	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_17	SRR20076074	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_18	SRR20076073	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_19	SRR20076072	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_20	SRR20076071	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_21	SRR20076070	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_22	SRR20076069	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_23	SRR20076068	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_24	SRR20076067	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_25	SRR20076066	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_26	SRR20076065	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_27	SRR20076064	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_28	SRR20076063	osteoarthritic.human.cartilage
healthy.human.cartilage_2	SRR20076062	healthy.human.cartilage
osteoarthritic.human.cartilage_29	SRR20076061	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_30	SRR20076060	osteoarthritic.human.cartilage
healthy.human.cartilage_3	SRR20076059	healthy.human.cartilage
osteoarthritic.human.cartilage_31	SRR20076058	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_32	SRR20076057	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_33	SRR20076056	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_34	SRR20076055	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_35	SRR20076054	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_36	SRR20076053	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_37	SRR20076052	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_38	SRR20076051	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_39	SRR20076050	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_40	SRR20076049	osteoarthritic.human.cartilage
healthy.human.cartilage_4	SRR20076048	healthy.human.cartilage
osteoarthritic.human.cartilage_41	SRR20076047	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_42	SRR20076046	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_43	SRR20076045	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_44	SRR20076044	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_45	SRR20076043	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_46	SRR20076042	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_47	SRR20076041	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_48	SRR20076040	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_49	SRR20076039	osteoarthritic.human.cartilage
healthy.human.cartilage_5	SRR20076038	healthy.human.cartilage
osteoarthritic.human.cartilage_50	SRR20076037	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_51	SRR20076036	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_52	SRR20076035	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_53	SRR20076034	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_54	SRR20076033	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_55	SRR20076032	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_56	SRR20076031	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_57	SRR20076030	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_58	SRR20076029	osteoarthritic.human.cartilage
healthy.human.cartilage_6	SRR20076028	healthy.human.cartilage
osteoarthritic.human.cartilage_59	SRR20076027	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_60	SRR20076026	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_61	SRR20076025	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_62	SRR20076024	osteoarthritic.human.cartilage
osteoarthritic.human.cartilage_63	SRR20076023	osteoarthritic.human.cartilage
