Sample	File	genotype
WT_1	SRR22085459|SRR22085460	WT
WT_2	SRR22085457|SRR22085452	WT
WT_3	SRR22085448|SRR22085449	WT
WT_4	SRR22085446|SRR22085447	WT
WT_5	SRR22085443|SRR22085444	WT
WT_6	SRR22085441|SRR22085442	WT
WT_7	SRR22085440|SRR22085445	WT
HO_1	SRR22085438|SRR22085439	HO
HO_2	SRR22085436|SRR22085437	HO
HO_3	SRR22085434|SRR22085435	HO
HO_4	SRR22085432|SRR22085433	HO
HO_5	SRR22085429|SRR22085430	HO
HO_6	SRR22085427|SRR22085428	HO
HO_7	SRR22085426|SRR22085431	HO
HO_8	SRR22085424|SRR22085425	HO
HO_9	SRR22085423|SRR22085458	HO
HO_10	SRR22085455|SRR22085456	HO
HO_11	SRR22085453|SRR22085454	HO
HO_12	SRR22085450|SRR22085451	HO
