Sample	File	title
Fetal.1_1	SRR3536062	Fetal
Fetal.2_1	SRR3536063	Fetal
Fetal.3_1	SRR3536064	Fetal
Fetal.4_1	SRR3536065	Fetal
Adult.1_1	SRR3536066	Adult
Adult.2_1	SRR3536067	Adult
Adult.3_1	SRR3536068	Adult
Adult.1.Control_1	SRR3536069	Adult_Control
Adult.2.Control_1	SRR3536070	Adult_Control
Adult.3.Control_1	SRR3536071	Adult_Control
Adult.4.Control_1	SRR3536072	Adult_Control
Adult.5.Control_1	SRR3536073	Adult_Control
Adult.6.Control_1	SRR3536074	Adult_Control
Adult.7.Control_1	SRR3536075	Adult_Control
Adult.1.Drug_1	SRR3536076	Adult_Drug
Adult.2.Drug_1	SRR3536077	Adult_Drug
Adult.3.Drug_1	SRR3536078	Adult_Drug
Adult.4.Drug_1	SRR3536079	Adult_Drug
Adult.5.Drug_1	SRR3536080	Adult_Drug
Adult.6.Drug_1	SRR3536081	Adult_Drug
Adult.7.Drug_1	SRR3536082	Adult_Drug
