Sample	File	genotype.and.drug
miR.140.WT_1	SRR5484301	miR-140 WT
miR.140.WT_2	SRR5484302	miR-140 WT
miR.140.WT_3	SRR5484303	miR-140 WT
miR.140.WT.G.hetero_1	SRR5484304	miR-140 WT/G hetero
miR.140.WT.G.hetero_2	SRR5484305	miR-140 WT/G hetero
miR.140.WT.G.hetero_3	SRR5484306	miR-140 WT/G hetero
miR.140.G.G_1	SRR5484307	miR-140 G/G
miR.140.G.G_2	SRR5484308	miR-140 G/G
miR.140.G.G_3	SRR5484309	miR-140 G/G
miR.140.KO_1	SRR5484310	miR-140 KO
miR.140.KO_2	SRR5484311	miR-140 KO
miR.140.KO_3	SRR5484312	miR-140 KO
